;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr20-nbStep10-2;nbChr200-nbStep100;nbChr40-nbStep100;nbChr40-nbStep100-5;nbChr40-nbStep100-6;nbChr100-nbStep200;nbChr100-nbStep200-8;nbChr100-nbStep200-9;nbChr100-nbStep200-10;nbChr100-nbStep200-11;nbChr100-nbStep200-12;nbChr100-nbStep200-13;nbChr100-nbStep200-14;nbChr100-nbStep200-15;nbChr100-nbStep200-16;nbChr100-nbStep200-67-17;nbChr100-nbStep200-66-18;nbChr100-nbStep200-67-19;nbChr100-nbStep200-69-20;nbChr100-nbStep200-68-21;nbChr100-nbStep200-66-22;nbChr100-nbStep200-67-23;nbChr100-nbStep200-67-24;nbChr100-nbStep200-65-25;nbChr100-nbStep200-71-26;nbChr100-nbStep200-68-27;nbChr100-nbStep200-65-28;nbChr100-nbStep200-68-29;nbChr100-nbStep200-62-30;nbChr100-nbStep200-64-31;nbChr100-nbStep200-64-32;nbChr100-nbStep200-66-33;nbChr100-nbStep200-68-34;nbChr100-nbStep200-64-35;nbChr100-nbStep200-67-36
propVoisins1_phi;0.0952401509231;0.0;0.0;-0.525178309377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0543342757933;0.0;-0.0460881321244;-0.117489355362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
size_alpha;0.0;0.0;0.0;0.0;-0.0452083858292;0.0;0.0;-0.268347034915;0.152315715122;-0.184899368974;0.0590641791437;0.0455176217317;-0.357217740053;0.0;0.168343642135;0.0537444576802;0.0;0.0;0.448701740737;-0.169155277072;0.0;0.0;-0.0244932668181;0.0;-0.25797867377;0.0;0.0;0.0;0.380864138189;0.0;0.511989971138;0.0;0.0;0.338268355006;0.026613003716;0.0;0.0
size_beta;0.0;0.0;0.00073294479727;0.0;0.242566980431;-0.0400311865287;0.0;0.0128028435465;0.0;0.0;0.0;0.0;0.0;-0.192030081647;0.395569653499;-0.229106397226;0.0707572574938;0.0;0.0;0.0;-0.129143825323;0.0244644185997;0.347610879512;0.0;-0.013586705829;-0.206600341808;-0.104695732869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
size_delta;0.0;0.0;0.0;0.0486690174574;0.137642456843;0.0;0.0;0.0432191784991;0.0;0.125858247113;0.0;-0.0406071940595;0.0484023719126;0.575021217942;0.0;0.0;0.317335721698;-0.0295122113522;0.0;-0.0309217612729;0.0254496221908;0.111505500248;-0.0840142956001;0.0;0.0;0.0;-0.00387212928789;0.0;-0.626243555329;0.0;0.0;0.0;0.0;0.0;0.0122205367604;0.0;0.144799742163
size_epsilon;-0.771082939963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0150665310362;-0.0334691770046;0.0;0.0102131951812;0.0;-0.0233282125612;0.045069942968;0.0274958192201;0.0;-0.0593103060348;-0.348092890675;0.0598396216159;0.0372274673587;0.0;-0.103629548488;0.34451757716;0.00390612052864;0.205976781997;0.0;0.0;0.0;-0.63213496593;0.0;0.0;0.0978920448165;0.0;0.0;0.0;0.0
size_gamma;0.0;0.0;0.0;0.0;0.0;-0.0505207062105;0.0;-0.0619056194693;-0.150121051045;0.0;0.0;0.0;-0.0957825088053;-0.0410830860031;-0.0729515677306;-0.121608617274;0.0;-0.0442908580509;0.0;-0.0305525668669;-0.103397326581;-0.0889426107026;-0.0450565990664;-0.0555672560049;-0.0562587293594;0.0;-0.0591088445797;-0.0734218574135;0.0;-0.0786453020244;0.0;0.0;0.0;-0.0208588646099;-0.0423302153415;0.0;-0.0833798319588
size_phi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.162148013126;0.0;0.0;-0.0530293561962;-0.967492290584;0.0;-0.12971138308;0.0;0.0;0.0;0.0;0.0;-0.328100463003;0.0;0.0;0.0;0.0;0.0;-0.198226965197;-0.0825911196603;0.0;-0.195060043384;0.0;-0.103138941902;0.0;0.0;-0.014555945887;0.0;0.0;-0.335968309977
sumVoisins1_alpha;0.0;0.0;0.0;0.796331690902;0.0;0.269989208;0.0271495756762;0.0;0.00338676461858;0.0;0.0528322408057;0.666920736731;0.0;-0.149512663642;-0.0583750078045;0.0;0.0;0.583917277031;0.0;0.0;-0.0443942100874;0.0;-0.0212545331456;-0.192371724439;0.0;0.34889715875;0.0;-0.606854356152;0.104406114981;0.234854345926;0.0;0.0;0.000403300406887;0.0;0.0;0.00213327548207;0.0
sumVoisins1_beta;0.0;0.0;0.0;0.637102575615;0.110020905874;0.729820311218;0.0;0.122052777006;0.0;0.0;0.458915274101;0.339241435161;0.394112099386;-0.053153251582;0.652357228975;0.0;0.0967765657407;0.0;0.0;0.38266557079;0.0;0.0;0.0;-0.0255902639971;0.0;-0.17306661426;0.0;0.0;0.0;0.0;0.50321346125;0.0;-0.00016022149828;0.0;-0.0734082093806;0.0;0.0
sumVoisins1_delta;-0.0456244888226;0.0;0.449559011717;-0.0633147895547;-0.2682461012;0.0;0.0;-0.0380509226352;0.242385639538;0.0;0.0131670413795;-0.532326255645;0.106881645663;0.0;-0.998417103229;0.136965404291;0.0;0.0;0.0;0.0;-0.447213915615;0.0;0.000774555170611;0.0209223518169;-0.2050078894;-0.420829448161;-0.0697847167968;-0.0170019610209;0.0;0.0;0.0;0.0280573887246;0.0;0.0256481607933;-0.0320445795942;0.0;0.248434216242
sumVoisins1_epsilon;0.0;0.0;0.0;0.0;0.0;0.0;-0.31541791037;0.150746585179;0.338948674013;-0.0101579086848;0.0;0.0;-0.145105355034;-0.221228426283;0.305581829171;0.0;0.0;0.0134174040624;0.621052388284;-0.943663253348;0.031977877485;0.0;0.0;0.0;-0.550231516053;-0.987629885728;0.0;-0.877498226122;0.0;0.0;0.485178302619;0.0;0.0649294233597;0.0;-0.303672484505;-0.50515344972;-0.00360325898927
sumVoisins1_gamma;0.0;0.417548481565;-0.41766473532;-0.54980611155;0.0105090151512;-0.0636052493267;-0.505969801834;0.047299336092;0.0;0.0;0.0;0.0;-0.669906868091;-0.213149728981;-0.175083383959;-0.719967992773;0.0;0.207740903819;0.0;0.0;-0.24387336504;-0.232381557153;0.0;0.121190448058;-0.165209804497;0.0;-0.344832011292;0.0;-0.616231230988;-0.827613231743;0.0;0.0;0.0;0.529287950414;-0.795765191496;0.0;0.0
sumVoisins1_phi;-0.332909460676;0.0;-0.0214775554683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sumVoisins_alpha;-0.370153742693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0291163464624;0.209763313917;-0.122247110384;0.0;0.0;0.0;0.0;-0.153739830828;0.13529532479;-0.000190414570504;0.978251257427;0.0;-0.742096896257;-0.0373963860842;0.0;0.0;0.240055478106;0.0;0.00104072806278;0.00673570408804;0.0;-0.449892040655;0.0;0.0;0.0;0.0569402628208;0.0;0.0;0.0
sumVoisins_beta;0.0;-0.132118387562;0.0;0.0;0.0;0.0;0.365215922423;-0.0216882428335;0.299720740776;0.196916036149;0.0;0.0;0.0;-0.0700427356584;0.0;-0.306321692932;0.172242789435;0.0;0.0;0.0;0.0;-0.0427506318356;0.0;0.0;0.181802995528;0.0;-0.089363548204;0.0;0.0124475307887;-0.220889855408;0.0;0.0;0.0;0.177107297151;0.0335166701522;0.0;0.0
sumVoisins_delta;0.0;0.0;0.0;-0.197353799252;0.0126149049367;0.0;-0.32515252531;-0.690925068194;0.00611913019353;0.0;-0.304260498334;0.0;-0.0273670851909;0.0;0.0;0.00433838754209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.043213157544;0.0849704868496;0.0;0.00378603916324;0.0;0.117565759653;0.726968856104;0.0;-0.0185378226115;0.0;0.30809698277;0.0;0.0
sumVoisins_epsilon;0.0;0.0;0.0;0.0;0.189904487488;-0.926095712819;-0.00417277988946;-0.00286560417015;0.217906035485;0.0;0.0368450649581;0.0;0.0450670889173;-0.0367741388336;0.0;0.0;0.329282059091;0.161351589229;0.0;0.0632626214913;0.0;-0.00479624135411;0.0;0.00120280474032;0.107851495281;-0.0297492758872;0.110504212481;0.00168629243166;0.210188343849;0.0;0.0;0.756287143964;-0.0123965153621;0.0;-0.043432450864;-0.243146671824;0.0
sumVoisins_gamma;-0.035002746557;0.0;0.0;0.0;0.0;0.0;0.0;-0.0265518741386;0.574395398861;-0.00449315635679;0.0813160629697;0.0;0.0;0.42749855938;0.196410431603;-0.201585270137;0.0411723514431;0.0;0.0;0.667470092741;0.0;0.0;0.0;0.0;-0.136822672604;0.0889674505223;0.256323825496;0.0;0.0;0.0;-0.11292494861;0.0;0.107567641653;-0.0986701379652;-0.019004846651;-0.734123264746;0.0
sumVoisins_phi;0.0;0.0;0.0;0.0;0.0;0.0;-0.979429468097;-0.897973034165;-0.760494729073;-0.98006241441;-0.52708648217;-0.348528934357;-0.366393070794;-0.237291097853;-0.284043233853;0.0;-0.703215041462;-0.429711863794;-0.936918289104;-0.31849453269;-0.894075526764;-0.642307260329;-0.29529170464;-0.987186951316;-0.468024328961;-0.550056567713;-0.286562532188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
